Quant. De Entidades:,Tempo de Transacao:,Tempo de Criacao:
100,0.00407099723815918,3.024291515350342
100,0.00957632064819336,3.028181791305542
100,0.017138957977294922,3.026611566543579
100,0.008740425109863281,3.0149521827697754

100,0.00891876220703125,3.03296160697937
100,0.004075765609741211,3.019531726837158
100,0.015868186950683594,3.007068634033203
100,0.004058361053466797,3.0200538635253906

100,0.015872478485107422,3.0135762691497803
100,0.00585174560546875,3.0308279991149902
100,0.014645576477050781,3.0247349739074707
100,0.0029807090759277344,3.0016257762908936

